Elapsed Time = 0:01.83, CPU Usage = 212%, CPU Time= 1.24, Job = 296
Elapsed Time = 0:01.64, CPU Usage = 222%, CPU Time= 1.14, Job = 297
Elapsed Time = 0:01.70, CPU Usage = 222%, CPU Time= 1.24, Job = 298
Elapsed Time = 0:01.83, CPU Usage = 213%, CPU Time= 1.20, Job = 299
Elapsed Time = 0:01.82, CPU Usage = 214%, CPU Time= 1.19, Job = 300
Elapsed Time = 0:01.68, CPU Usage = 217%, CPU Time= 1.18, Job = 301
Elapsed Time = 0:01.85, CPU Usage = 183%, CPU Time= 0.90, Job = 302
Elapsed Time = 0:01.76, CPU Usage = 219%, CPU Time= 1.28, Job = 303
Elapsed Time = 0:01.75, CPU Usage = 217%, CPU Time= 1.17, Job = 304
Elapsed Time = 0:01.78, CPU Usage = 216%, CPU Time= 1.27, Job = 305
Elapsed Time = 0:01.75, CPU Usage = 218%, CPU Time= 1.26, Job = 306
Elapsed Time = 0:01.72, CPU Usage = 218%, CPU Time= 1.18, Job = 307
Elapsed Time = 0:01.69, CPU Usage = 222%, CPU Time= 1.24, Job = 308
Elapsed Time = 0:01.66, CPU Usage = 222%, CPU Time= 1.18, Job = 309
Elapsed Time = 0:01.64, CPU Usage = 224%, CPU Time= 1.20, Job = 310
Elapsed Time = 0:01.66, CPU Usage = 219%, CPU Time= 1.13, Job = 311
Elapsed Time = 0:01.60, CPU Usage = 227%, CPU Time= 1.21, Job = 312
Elapsed Time = 0:01.71, CPU Usage = 220%, CPU Time= 1.27, Job = 313
Elapsed Time = 0:01.67, CPU Usage = 224%, CPU Time= 1.17, Job = 314
Elapsed Time = 0:02.13, CPU Usage = 198%, CPU Time= 1.32, Job = 315
Elapsed Time = 0:03.22, CPU Usage = 164%, CPU Time= 1.17, Job = 316
Elapsed Time = 0:01.88, CPU Usage = 206%, CPU Time= 1.23, Job = 317
Elapsed Time = 0:01.71, CPU Usage = 222%, CPU Time= 1.28, Job = 318
Elapsed Time = 0:02.98, CPU Usage = 170%, CPU Time= 1.22, Job = 319
Elapsed Time = 0:02.09, CPU Usage = 199%, CPU Time= 1.25, Job = 320
Elapsed Time = 0:03.09, CPU Usage = 167%, CPU Time= 1.27, Job = 321
Elapsed Time = 0:01.90, CPU Usage = 210%, CPU Time= 1.24, Job = 322
Elapsed Time = 0:01.92, CPU Usage = 201%, CPU Time= 1.12, Job = 323
Elapsed Time = 0:02.38, CPU Usage = 169%, CPU Time= 1.05, Job = 324
